index,datetime,service,instance,message,level,anomaly_type,st_time,ed_time,duration,data_type
0,2021-07-01,dbservice,dbservice1,"2021-07-01 11:54:27,616 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 11:44:26.882752 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 11:44:27.616000,2021-07-01 11:54:27.616000,600,train
12,2021-07-01,redisservice,redisservice2,"2021-07-01 21:30:11,157 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 21:20:10.284961 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 21:20:11.157000,2021-07-01 21:30:11.157000,600,train
13,2021-07-01,redisservice,redisservice2,"2021-07-01 22:40:02,055 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 22:30:01.256928 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 22:30:02.055000,2021-07-01 22:40:02.055000,600,train
230,2021-07-01,logservice,logservice2,"2021-07-01 20:45:20,692 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 20:35:19.880980 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 20:35:20.692000,2021-07-01 20:45:20.692000,600,train
231,2021-07-02,dbservice,dbservice1,"2021-07-02 01:21:29,979 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 01:11:29.298886 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 01:11:29.979000,2021-07-02 01:21:29.979000,600,train
232,2021-07-02,dbservice,dbservice1,"2021-07-02 13:13:23,561 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 13:03:22.764097 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 13:03:23.561000,2021-07-02 13:13:23.561000,600,train
233,2021-07-02,dbservice,dbservice1,"2021-07-02 16:30:41,481 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 16:20:40.866839 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 16:20:41.481000,2021-07-02 16:30:41.481000,600,train
234,2021-07-02,webservice,webservice2,"2021-07-02 07:51:52,504 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 07:41:51.591603 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 07:41:52.504000,2021-07-02 07:51:52.504000,600,train
235,2021-07-02,dbservice,dbservice2,"2021-07-02 02:30:02,275 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 02:20:01.508943 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 02:20:02.275000,2021-07-02 02:30:02.275000,600,train
236,2021-07-02,dbservice,dbservice2,"2021-07-02 20:25:48,600 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 20:15:47.828889 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 20:15:48.600000,2021-07-02 20:25:48.600000,600,train
237,2021-07-02,dbservice,dbservice2,"2021-07-02 23:52:33,783 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 23:42:32.980941 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 23:42:33.783000,2021-07-02 23:52:33.783000,600,train
238,2021-07-02,webservice,webservice1,"2021-07-02 10:34:32,497 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 10:24:31.614539 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 10:24:32.497000,2021-07-02 10:34:32.497000,600,train
239,2021-07-02,webservice,webservice1,"2021-07-02 20:10:00,659 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | trigger the file moving program, start with 2021-07-02 20:00:00.510589, last for 600 seconds",WARNING,[file moving program],2021-07-02 20:00:00.659000,2021-07-02 20:10:00.659000,600,train
782,2021-07-02,redisservice,redisservice2,"2021-07-02 18:21:54,644 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 18:11:53.808875 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 18:11:54.644000,2021-07-02 18:21:54.644000,600,train
783,2021-07-02,redisservice,redisservice2,"2021-07-02 22:23:20,815 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 22:13:20.052896 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 22:13:20.815000,2021-07-02 22:23:20.815000,600,train
784,2021-07-02,logservice,logservice1,"2021-07-02 06:35:51,758 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 06:25:50.827593 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 06:25:51.758000,2021-07-02 06:35:51.758000,600,train
785,2021-07-02,logservice,logservice1,"2021-07-02 14:00:59,366 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 13:50:58.555633 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 13:50:59.366000,2021-07-02 14:00:59.366000,600,train
786,2021-07-02,logservice,logservice2,"2021-07-02 05:33:24,020 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 05:23:23.248937 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 05:23:24.020000,2021-07-02 05:33:24.020000,600,train
787,2021-07-02,logservice,logservice2,"2021-07-02 10:29:43,448 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 10:19:42.476881 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 10:19:43.448000,2021-07-02 10:29:43.448000,600,train
788,2021-07-03,dbservice,dbservice2,"2021-07-03 23:59:43,977 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-03 23:49:43.048874 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-03 23:49:43.977000,2021-07-03 23:59:43.977000,600,train
789,2021-07-03,webservice,webservice2,"2021-07-03 15:18:07,887 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-03 15:08:06.371625 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-03 15:08:07.887000,2021-07-03 15:18:07.887000,600,train
1377,2021-07-03,redisservice,redisservice2,"2021-07-03 13:59:52,067 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-03 13:49:51.220908 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-03 13:49:52.067000,2021-07-03 13:59:52.067000,600,train
1378,2021-07-03,redisservice,redisservice2,"2021-07-03 15:01:28,095 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-03 14:51:27.180949 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-03 14:51:28.095000,2021-07-03 15:01:28.095000,600,train
1379,2021-07-03,redisservice,redisservice1,"2021-07-03 00:36:49,418 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-03 00:26:48.518542 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-03 00:26:49.418000,2021-07-03 00:36:49.418000,600,train
1380,2021-07-03,redisservice,redisservice1,"2021-07-03 17:16:34,865 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-03 17:06:34.026565 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-03 17:06:34.865000,2021-07-03 17:16:34.865000,600,train
1381,2021-07-03,logservice,logservice1,"2021-07-03 04:19:49,602 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-03 04:09:48.719591 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-03 04:09:49.602000,2021-07-03 04:19:49.602000,600,train
1382,2021-07-03,logservice,logservice1,"2021-07-03 07:48:56,860 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-03 07:38:55.955599 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-03 07:38:56.860000,2021-07-03 07:48:56.860000,600,train
1383,2021-07-03,logservice,logservice1,"2021-07-03 11:23:55,049 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-03 11:13:54.159598 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-03 11:13:55.049000,2021-07-03 11:23:55.049000,600,train
1384,2021-07-03,logservice,logservice2,"2021-07-03 09:26:05,417 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-03 09:16:04.529338 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-03 09:16:05.417000,2021-07-03 09:26:05.417000,600,train
1385,2021-07-03,logservice,logservice2,"2021-07-03 15:24:33,871 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-03 15:14:33.016948 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-03 15:14:33.871000,2021-07-03 15:24:33.871000,600,train
1386,2021-07-04,dbservice,dbservice1,"2021-07-04 07:33:33,003 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 07:23:31.902981 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 07:23:33.003000,2021-07-04 07:33:33.003000,600,train
1387,2021-07-04,dbservice,dbservice1,"2021-07-04 15:11:08,214 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 15:01:06.877611 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 15:01:08.214000,2021-07-04 15:11:08.214000,600,train
1388,2021-07-04,dbservice,dbservice1,"2021-07-04 17:11:45,061 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 17:01:44.446752 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 17:01:45.061000,2021-07-04 17:11:45.061000,600,train
1389,2021-07-04,dbservice,dbservice2,"2021-07-04 01:44:18,107 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 01:34:17.188897 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 01:34:18.107000,2021-07-04 01:44:18.107000,600,train
1390,2021-07-04,webservice,webservice1,"2021-07-04 04:10:00,703 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | trigger the file moving program, start with 2021-07-04 04:00:00.578620, last for 600 seconds",WARNING,[file moving program],2021-07-04 04:00:00.703000,2021-07-04 04:10:00.703000,600,train
1391,2021-07-04,webservice,webservice1,"2021-07-04 04:32:59,482 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 04:22:58.510618 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 04:22:59.482000,2021-07-04 04:32:59.482000,600,train
1392,2021-07-04,webservice,webservice1,"2021-07-04 06:41:56,726 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 06:31:55.682525 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 06:31:56.726000,2021-07-04 06:41:56.726000,600,train
1393,2021-07-04,webservice,webservice1,"2021-07-04 12:10:01,055 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | trigger the file moving program, start with 2021-07-04 12:00:00.956911, last for 600 seconds",WARNING,[file moving program],2021-07-04 12:00:01.055000,2021-07-04 12:10:01.055000,600,train
1394,2021-07-04,webservice,webservice1,"2021-07-04 16:20:30,303 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 16:10:28.626523 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 16:10:30.303000,2021-07-04 16:20:30.303000,600,train
1395,2021-07-04,webservice,webservice2,"2021-07-04 01:10:00,821 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | trigger the file moving program, start with 2021-07-04 01:00:00.639653, last for 600 seconds",WARNING,[file moving program],2021-07-04 01:00:00.821000,2021-07-04 01:10:00.821000,600,train
1396,2021-07-04,webservice,webservice2,"2021-07-04 03:00:20,165 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 02:50:19.083599 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 02:50:20.165000,2021-07-04 03:00:20.165000,600,train
1397,2021-07-04,webservice,webservice2,"2021-07-04 06:43:50,943 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 06:33:48.563581 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 06:33:50.943000,2021-07-04 06:43:50.943000,600,train
1398,2021-07-04,webservice,webservice2,"2021-07-04 08:10:00,568 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | trigger the file moving program, start with 2021-07-04 08:00:00.471022, last for 600 seconds",WARNING,[file moving program],2021-07-04 08:00:00.568000,2021-07-04 08:10:00.568000,600,train
1399,2021-07-04,webservice,webservice2,"2021-07-04 17:00:06,941 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 16:50:04.943598 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 16:50:06.941000,2021-07-04 17:00:06.941000,600,train
1400,2021-07-04,webservice,webservice2,"2021-07-04 18:49:17,268 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 18:39:16.151591 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 18:39:17.268000,2021-07-04 18:49:17.268000,600,train
1970,2021-07-04,redisservice,redisservice1,"2021-07-04 17:41:07,142 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 17:31:06.226532 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 17:31:07.142000,2021-07-04 17:41:07.142000,600,train
1971,2021-07-04,logservice,logservice1,"2021-07-04 00:59:41,249 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 00:49:40.287601 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 00:49:41.249000,2021-07-04 00:59:41.249000,600,train
1972,2021-07-04,logservice,logservice1,"2021-07-04 22:22:05,989 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 22:12:05.211594 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 22:12:05.989000,2021-07-04 22:22:05.989000,600,train
1973,2021-07-04,logservice,logservice2,"2021-07-04 06:16:10,067 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 06:06:09.245221 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 06:06:10.067000,2021-07-04 06:16:10.067000,600,train
1974,2021-07-04,logservice,logservice2,"2021-07-04 10:57:21,367 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 10:47:20.480887 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 10:47:21.367000,2021-07-04 10:57:21.367000,600,train
1975,2021-07-04,logservice,logservice2,"2021-07-04 18:04:59,535 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 17:54:58.133846 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 17:54:59.535000,2021-07-04 18:04:59.535000,600,train
1976,2021-07-04,logservice,logservice2,"2021-07-04 19:05:18,512 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-04 18:55:17.664885 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-04 18:55:18.512000,2021-07-04 19:05:18.512000,600,train
1977,2021-07-05,dbservice,dbservice2,"2021-07-05 04:24:49,294 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 04:14:48.405145 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-05 04:14:49.294000,2021-07-05 04:24:49.294000,600,train
1978,2021-07-05,dbservice,dbservice2,"2021-07-05 05:38:35,241 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 05:28:34.389611 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-05 05:28:35.241000,2021-07-05 05:38:35.241000,600,train
1979,2021-07-05,webservice,webservice1,"2021-07-05 17:37:38,498 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 17:27:36.802528 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-05 17:27:38.498000,2021-07-05 17:37:38.498000,600,train
1980,2021-07-05,webservice,webservice1,"2021-07-05 22:09:15,582 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 21:59:13.898511 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-05 21:59:15.582000,2021-07-05 22:09:15.582000,600,test
1981,2021-07-05,webservice,webservice2,"2021-07-05 08:25:27,738 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [normal memory freed label] lasts ten minutes",WARNING,[normal memory freed label],2021-07-05 08:25:27.738000,2021-07-05 08:35:27.738000,600,train
1982,2021-07-05,webservice,webservice2,"2021-07-05 16:10:00,749 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | trigger the file moving program, start with 2021-07-05 16:00:00.625877, last for 600 seconds",WARNING,[file moving program],2021-07-05 16:00:00.749000,2021-07-05 16:10:00.749000,600,train
2471,2021-07-05,redisservice,redisservice1,"2021-07-05 02:44:22,835 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 02:34:21.942528 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-05 02:34:22.835000,2021-07-05 02:44:22.835000,600,train
2472,2021-07-05,redisservice,redisservice1,"2021-07-05 08:27:58,220 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 08:17:57.346770 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-05 08:17:58.220000,2021-07-05 08:27:58.220000,600,train
2473,2021-07-05,redisservice,redisservice1,"2021-07-05 18:16:36,078 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 18:06:35.118556 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-05 18:06:36.078000,2021-07-05 18:16:36.078000,600,train
2474,2021-07-05,redisservice,redisservice2,"2021-07-05 13:58:49,157 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 13:48:48.135601 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-05 13:48:49.157000,2021-07-05 13:58:49.157000,600,train
2475,2021-07-05,redisservice,redisservice2,"2021-07-05 19:07:23,490 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 18:57:22.580944 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-05 18:57:23.490000,2021-07-05 19:07:23.490000,600,train
2476,2021-07-05,logservice,logservice2,"2021-07-05 07:24:38,521 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 07:14:37.512945 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-05 07:14:38.521000,2021-07-05 07:24:38.521000,600,train
2477,2021-07-05,logservice,logservice2,"2021-07-05 11:04:51,612 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 10:54:50.752943 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-05 10:54:51.612000,2021-07-05 11:04:51.612000,600,train
2478,2021-07-05,logservice,logservice2,"2021-07-05 18:55:59,500 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 18:45:58.320933 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-05 18:45:59.500000,2021-07-05 18:55:59.500000,600,train
2479,2021-07-05,logservice,logservice2,"2021-07-05 20:56:38,396 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 20:46:37.604945 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-05 20:46:38.396000,2021-07-05 20:56:38.396000,600,train
2480,2021-07-05,logservice,logservice1,"2021-07-05 03:22:55,699 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 03:12:54.499598 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-05 03:12:55.699000,2021-07-05 03:22:55.699000,600,train
2481,2021-07-05,logservice,logservice1,"2021-07-05 08:37:23,161 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 08:27:22.235600 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-05 08:27:23.161000,2021-07-05 08:37:23.161000,600,train
